,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
193,ESTRATTO DI CARNE,100,18,219,916,54,54,0,"0,4","0,4",0,"0,17","0,17","0,2","0,01","0,01",0,"0,02",2,0,0,0,"0,9",0,"1,3",37,3811,970,7,1,"0,06","0,1","0,1",0,"0,57",1050,0,0,0,0,0,,,,
194,FAGIANO,85,"69,2",144,602,"24,3","24,3",0,"5,2","5,2",0,"1,51","1,72","2,42","0,45","0,06","0,15","0,66",71,0,0,0,0,0,8,49,70,290,308,1,"0,17","0,19","11,3",0,"0,66",6,0,0,0,"0,3","0,4",,,,
195,FAGIOLI SECCHI,100,"10,7",311,1301,"23,6",0,"23,6","2,5",0,"2,5","0,5","0,19","0,19","0,58","0,62",0,"1,2",0,"51,7","47,7",4,17,0,"6,7",137,4,1445,437,"3,4","0,4","0,17","2,3",3,"0,4",130,3,0,18,"0,93",0,,,,
196,FAGIOLI ADUKI,100,"12,7",272,1138,"19,9",0,"19,9","0,5",0,"0,5","0,19","0,05",0,"0,11",0,0,0,0,"50,1","44,7",1,"11,1",0,"4,2",84,5,1220,380,5,"0,45","0,22","2,6",0,"0,35",622,2,0,12,0,0,,,,
197,FAGIOLI IN SCATOLA,100,82,43,180,"4,1",0,"4,1","0,5",0,"0,5","0,1","0,04","0,04","0,12","0,12",0,"0,24",0,"6,3","5,2","1,1","6,8",0,"1,9",40,305,232,47,"0,6","0,03","0,02","0,1",0,"0,03",8,0,0,0,"0,23",0,,,,
198,FAGIOLI MUNG,100,11,279,1167,"23,9",0,"23,9","1,1",0,"1,1","0,22","0,08","0,08","0,26","0,27",0,"0,53",0,"46,3","40,9","1,5","13,9",0,6,89,12,1250,360,"2,7","0,36","0,26","2,1",0,"0,38",140,4,0,24,"0,52",0,,,,
199,FAGIOLINI,95,"90,5",17,71,"2,1",0,"2,1","0,1",0,"0,1","0,02",0,0,"0,03","0,03",0,"0,06",0,"2,4",0,"2,4","2,9",0,"0,9",35,2,280,48,"0,2","0,07","0,15","0,8",16,"0,05",80,41,0,246,"0,2",0,,,,
200,FARAONA,68,"68,9",158,661,"23,4","23,4",0,"6,5","6,5",0,"1,77",2,"2,43","1,19","0,05","0,17","1,41",74,0,0,0,0,0,"0,8",11,67,193,153,"1,1","0,06","0,1","7,7",0,"0,38",5,28,28,0,"0,3","0,4",,,,
201,FARAONA  COSCIA,85,"73,6",114,477,"24,3","24,3",0,"1,8","1,8",0,"0,58","0,55","0,64","0,31","0,03","0,05","0,39",70,"0,2",0,"0,2",0,0,"0,6",5,68,340,220,"1,9","0,29","0,35","5,1",0,"0,61",17,0,0,0,"0,01","0,3",,,,
202,FARAONA  PETTO,85,"75,3",107,448,"25,1","25,1",0,"0,7","0,7",0,"0,23","0,21","0,25","0,12","0,01","0,02","0,15",57,0,0,0,0,0,"0,3",4,50,360,230,1,"0,14","0,15","9,1",0,"0,81",9,0,0,0,0,"0,3",,,,
203,FARINA DI AVENA,100,9,388,1623,"12,6",0,"12,6","7,1",0,"7,1","1,24","2,56","2,57","2,71","0,15",0,"2,86",0,"72,9","72,9",0,"7,6",0,"4,2",80,33,370,342,"3,3","0,52","0,17","2,4",0,"0,12",60,0,0,0,"1,39",0,,,,
204,FARINA DI CASTAGNE,100,11,323,1351,"5,8",0,"5,8","3,7",0,"3,7","0,64","1,36","1,38","1,33","0,15",0,"1,48",0,"71,6","44,2","27,5","10,9",0,"3,2",50,11,847,164,"0,9","0,23","0,37",1,0,"0,64",109,0,0,0,"2,26",0,,,,
205,FARINA DI CECI,100,13,334,1397,"21,8",0,"21,8","4,9",0,"4,9","0,63","1,35","1,36","2,59","0,1",0,"2,69",0,"54,3","50,6","3,7","13,8",0,"6,1",117,6,800,299,"3,3","0,36","0,14","1,7",5,"0,53",180,30,0,180,"2,61",0,,,,
206,FARINA DI COCCO,100,"2,3",604,2527,"5,6",0,"5,6",62,0,62,"53,27","3,85","4,08","1,05",0,0,"1,05",0,"6,4",0,"6,4","21,1",0,"3,6",23,28,660,160,"0,9","0,03","0,05","0,9",0,"0,09",9,0,0,0,"1,26",0,,,,
207,"FARINA DI FRUMENTO, INTEGRALE",100,"13,4",321,1343,"11,9",0,"11,9","1,9",0,"1,9","0,43","0,21","0,21","1,1","0,06",0,"1,16",0,"68,4","66,3","2,1","9,6",0,3,28,3,337,300,"2,9","0,4","0,16",5,0,"0,5",57,0,0,0,"1,21",0,,,,
208,"FARINA DI FRUMENTO, TIPO 0",100,"14,2",343,1435,"11,5",0,"11,5",1,0,1,"0,23","0,11","0,11","0,58","0,03",0,"0,61",0,"76,9","75,1","1,8","3,5",0,"0,9",18,2,140,160,"0,6","0,25","0,04","1,2",0,"0,15",22,0,0,0,"0,23",0,,,,
209,"FARINA DI FRUMENTO, TIPO 00",100,"14,2",343,1435,11,0,11,"0,7",0,"0,7","0,16","0,08","0,08","0,41","0,02",0,"0,43",0,78,"76,3","1,7","2,5",0,"0,7",17,3,126,76,"0,6","0,1","0,03",1,0,"0,15",22,0,0,0,"0,16",0,,,,
210,FARINA DI GRANO DURO,100,"14,2",304,1272,"12,6",0,"12,6","2,8",0,"2,8","0,51","0,38","0,39","1,06","0,06",0,"1,11",0,"61,1",58,"3,1","3,5",0,"3,5",29,2,418,320,4,"0,42","0,15","5,5",0,"0,41",42,0,0,0,"0,98",0,,,,
211,FARINA DI GRANO SARACENO,100,"13,2",364,1523,"8,1",0,"8,1","1,5",0,"1,5","0,33","0,44","0,46","0,42","0,03",0,"0,46",0,"84,9","84,5","0,4","2,1",0,2,12,1,220,150,"2,6","0,28","0,07","2,8",0,"0,4",54,0,0,0,0,0,,,,
212,FARINA DI MAIS,100,"12,5",365,1527,"8,7",0,"8,7","2,7",0,"2,7","0,34","0,62","0,62","1,01","0,18",0,"1,19",0,"81,5",80,"1,5","2,6",0,"1,8",6,1,130,99,1,"0,35","0,1","1,9",0,0,0,67,0,402,0,0,,,,
213,FARINA DI ORZO,100,"12,8",360,1506,"10,6",0,"10,6","1,9",0,"1,9","0,4","0,2","0,24","0,83","0,09",0,"0,92",0,80,80,0,"14,8",0,6,39,4,560,393,"3,3","0,16","0,08","5,5",0,"0,56",50,0,0,0,"0,9",0,,,,
214,FARINA DI RISO,100,"12,3",363,1519,"7,3",0,"7,3","0,5",0,"0,5","0,14","0,15","0,16","0,11","0,02",0,"0,13",0,"87,8","87,8",0,"0,7",0,"0,4",7,4,104,90,"0,8","0,05","0,04","1,4",0,"0,44",4,0,0,0,"0,13",0,,,,
215,FARINA DI SEGALE,100,"14,3","325,5",1362,"8,25",0,"8,25","1,65",0,"1,65","0,19","0,18","0,195","0,625","0,105",0,"0,725",0,"71,85","68,75","3,1","9,85",0,"2,65",26,1,"353,5",278,"2,7","0,31","0,16","1,1",0,"0,31","48,5",0,0,0,"1,235",0,,,,
216,FARINA DI SOIA,100,7,"399,5","1671,5","41,05",0,"41,05","15,35",0,"15,35","2,15","3,67","3,72","7,13","1,085","0,5","8,715",0,"25,85","13,55","12,3",12,0,8,225,"11,5",1845,620,"3,55","0,825","0,285","2,2",0,"0,49","377,5",8,0,48,"0,85",0,,,,
217,FARINA LATTEA,100,4,415,1736,"13,2","9,7","3,5","6,3",6,"0,3",0,0,0,0,0,0,0,0,"81,5","27,8","48,2",0,0,"3,5",301,0,0,237,0,"0,39","0,35",1,15,0,0,239,209,179,0,0,,,,
218,FAVE,30,"80,7",37,155,"5,4",0,"5,4","0,2",0,"0,2","0,03","0,04","0,04","0,08","0,01",0,"0,08",0,"4,2","3,8","0,4","5,1",0,"1,8",23,18,210,98,"0,9","0,2","0,1","1,2",24,"0,06",145,11,0,66,"0,46",0,,,,
219,FAVE SECCHE,100,"13,3",342,1431,"27,2",0,"27,2",3,0,3,"0,5","0,6","0,6","1,16","0,1",0,"1,26",0,"55,3","50,4","4,9",7,0,5,90,127,1028,420,"4,6","0,5","0,28","2,6",4,"0,37",145,10,0,60,"0,46",0,,,,
220,FETA,100,"56,5",250,1046,"15,6","15,6",0,"20,2","20,2",0,"14,19","3,77","4,39","0,31","0,25",0,"0,56",70,"1,5",0,"1,5",0,0,"0,2",360,1440,95,280,"0,9","0,04","0,21","0,2",0,"0,07",23,226,220,33,"0,37","0,5",,,,
221,FETTE BISCOTTATE,100,4,410,1715,"11,3",0,"11,3",6,2,4,"0,83","1,43","1,47","2,27","0,13",0,"2,4",4,83,"80,8","2,2","3,5",0,"3,8",55,206,140,124,2,"0,5","0,3","2,6",0,"0,1",26,0,0,0,"1,3",0,,,,
222,FETTE BISCOTTATE DOLCI,100,6,404,1690,"10,5",0,"10,5","6,2",0,"6,2","0,88","1,48","1,52","2,34","0,14",0,"2,48",0,"81,6","69,8","11,8","3,5",0,"2,5",30,206,140,109,2,"0,5","0,22","4,1",0,"0,1",26,0,0,0,"0,23",0,,,,
223,FETTE BISCOTTATE INTEGRALI,100,5,365,1527,"11,2",0,"11,2","5,2",0,"5,2","0,76","1,19","1,23","1,94","0,11",0,"2,06",0,"74,1","64,1",10,11,0,"4,5",43,837,148,165,"1,5","0,42","0,3","5,1",0,"0,1",24,0,0,0,"1,3",0,,,,
224,FETTE BISCOTTATE VITAMINIZZATE,100,4,410,1715,"11,3",0,"11,3",6,2,4,"0,83","1,43","1,47","2,27","0,13",0,"2,4",4,83,"80,8","2,2","3,5",0,"5,6",55,206,140,124,2,"0,56","0,64","7,2",0,"0,8",26,0,0,0,"1,3",0,,,,
225,FETTE DI SEGALE INTEGRALI,100,"6,1",366,1531,"7,9",0,"7,9","1,3",0,"1,3","0,15","0,15","0,17","0,48","0,08",0,"0,56",0,"65,7","62,6","3,1","16,5",0,"2,4",31,264,319,269,"2,4","0,24","0,15",1,0,"0,21",22,0,0,0,"1,36",0,,,,
226,FICHI,75,"81,9",47,197,"0,9",0,"0,9","0,2",0,"0,2","0,04","0,04","0,04","0,1",0,0,"0,1",0,"11,2",0,"11,2",2,0,"0,5",43,2,270,25,"0,2","0,03","0,04","0,4",7,"0,09",7,15,0,90,"0,77",0,,,,
227,FICHI D'INDIA,64,"83,2",53,222,"0,8",0,"0,8","0,1",0,"0,1","0,01","0,01","0,01","0,04",0,0,"0,04",0,13,0,13,5,0,"0,4",30,5,238,25,"0,7","0,01","0,03","0,5",2,"0,08",8,10,0,60,"0,01",0,,,,
228,FICHI SECCHI,100,"19,4",242,1013,"3,5",0,"3,5","2,7",0,"2,7","0,54","0,6","0,6","1,29",0,0,"1,29",0,58,0,58,"10,4",0,3,186,87,1010,111,"0,9","0,14","0,1","0,6",0,"0,26",9,8,0,48,0,0,,,,
229,FINOCCHIO,59,"93,2",9,38,"1,2",0,"1,2",0,0,0,0,0,0,0,0,0,0,0,1,0,1,"2,2",0,"0,4",45,141,276,39,"0,1","0,02","0,04","0,5",12,"0,07",49,2,0,12,"0,2",0,,,,
230,SEMI DI FINOCCHIO,100,"8,8",345,1443,"15,8",0,"15,8","14,9",0,"14,9","0,48","9,91","9,91","1,69",0,0,"1,69",0,"12,5",0,"12,5","39,8",0,"12,3",1200,88,1660,510,"3,7","0,41","0,35","10,3",0,"0,44",0,14,0,81,"2,72",0,,,,
231,FIOCCHI DI AVENA,100,"10,3",395,1653,8,0,8,"7,5",0,"7,5","1,32","2,35","2,36","2,62","0,12",0,"2,74",0,"73,5","73,5",0,"8,3",0,"5,2",54,33,370,365,"3,1","0,55","0,14",1,0,"0,12",32,0,0,0,"1,5",0,,,,
232,FIOCCHI DI CRUSCA DI GRANO,100,3,319,1335,"10,2",0,"10,2","1,9",0,"1,9","0,44","0,21","0,21","1,1","0,06",0,"1,16",0,"69,7","50,7",19,"17,3",0,40,50,910,540,370,"1,9",1,"1,5",16,35,"1,8",250,0,0,0,"0,6",0,,,,
233,FIOCCHI DI LATTE MAGRO,100,79,102,427,"11,7","11,7",0,"5,3","5,3",0,"3,17","1,39","1,68","0,07","0,08",0,"0,15",13,"2,6",0,"2,6",0,0,"0,1",73,380,89,160,"0,6","0,03","0,26","0,1",0,"0,08",27,46,44,10,"0,08","0,08",,,,
234,FIOCCHI DI MAIS (CORNFLAKES),100,5,364,1523,"6,6",0,"6,6","0,8",0,"0,8","0,13","0,23","0,23","0,38","0,01",0,"0,39",0,"88,1","77,7","10,4","3,8",0,"2,8",74,11,99,58,"0,3",1,"1,5",16,0,"1,8",250,0,0,0,"0,53",0,,,,
235,CORNFLAKES,100,5,364,1523,"6,6",0,"6,6","0,8",0,"0,8","0,13","0,23","0,23","0,38","0,01",0,"0,39",0,"88,1","77,7","10,4","3,8",0,"2,8",74,11,99,58,"0,3",1,"1,5",16,0,"1,8",250,0,0,0,"0,53",0,,,,
236,FIOCCHI DI RISO,100,"12,6",346,1448,"6,6",0,"6,6","1,2",0,"1,2","0,26","0,3","0,3","0,42",0,0,"0,42",0,"77,5","77,5",0,"2,2",0,8,20,4,150,150,"1,8","0,21","0,05",4,0,"0,31",20,0,0,0,"0,1",0,,,,
237,FIOCCHI D'ORZO,100,"12,8",360,1506,"10,6",0,"10,6","1,9",0,"1,9","0,4","0,2","0,24","0,83","0,09",0,"0,92",0,80,80,0,"14,8",0,6,39,4,560,393,"3,3","0,16","0,08","5,5",0,"0,56",50,0,0,0,"0,9",0,,,,
238,FIOR DI LATTE,100,"54,8",265,1109,"20,6","20,6",0,"20,3","20,3",0,"12,6","5,55","6,57","0,42","0,3",0,"0,72",90,0,0,0,0,0,"0,4",162,118,75,355,"1,4","0,03","0,27","0,3",0,"0,09",19,240,210,180,"0,33","0,16",,,,
239,FIORI DI ZUCCA,79,"94,3",12,50,"1,7",0,"1,7","0,4",0,"0,4","0,21","0,02","0,05","0,01","0,01",0,"0,02",0,"0,5",0,"0,5","0,5",0,2,39,6,203,37,"0,2","0,09","0,16","0,8",28,"0,09",69,252,0,1512,"0,12",0,,,,
240,FOCACCIA,100,"28,5",292,1222,"8,4",0,"8,4","11,8",0,"11,8",2,"7,84","7,93","1,58","0,16",0,"1,74",0,"40,7","30,8","9,9","4,9",0,0,9,218,128,39,"0,5","0,21","0,08","1,3",1,"0,13",55,0,0,0,"0,51",0,,,,
241,FOGLIE DI RAPA,63,"92,5",22,92,"2,6",0,"2,6","0,1",0,"0,1","0,02",0,"0,01","0,01","0,03",0,"0,04",0,"2,8",0,"2,8","2,4",0,"2,7",169,34,249,48,"0,2","0,08","0,37","1,8",81,"0,22",163,299,0,1794,"2,44",0,,,,
242,FONTINA,100,"41,1",343,1435,"24,5","24,5",0,"26,9","26,9",0,"14,73","6,13","6,9","0,74","0,68",0,"1,42",80,"0,8",0,"0,8",0,0,"0,3",870,451,89,561,"3,5","0,01","0,45","0,2",0,"0,08",6,153,140,80,"0,35","0,19",,,,
243,FORMAGGINO,100,"52,6",309,1293,"11,2","11,2",0,"26,9","26,9",0,"16,08","7,07","8,58","0,36","0,38",0,"0,73",93,6,0,6,0,0,"0,3",430,1000,108,650,"3,2","0,02","0,3","0,1",0,"0,08",18,260,240,120,"0,55","0,21",,,,
244,FORMAGGIO AL GORGONZOLA E AL MASCARPONE,100,"43,4",406,1699,"13,5","13,5",0,"39,1","39,1",0,"22,13","10,09","11,69","0,75","0,51",0,"1,25",91,"0,1",0,"0,1",0,0,"0,3",340,768,96,227,"1,5","0,01","0,2","0,5",0,"0,06",32,359,323,213,"0,77","0,26",,,,
245,FORMAGGIO SPALMABILE,100,58,313,1310,"8,6","8,6",0,31,31,0,"18,52","8,15","9,87","0,41","0,43",0,"0,84",90,0,0,0,0,0,"0,1",110,330,150,130,"0,7","0,03","0,17","0,1",0,"0,05",13,293,275,105,"0,24","0,17",,,,
246,FRAGOLE,94,"90,5",27,113,"0,9",0,"0,9","0,4",0,"0,4","0,02","0,06","0,06","0,12","0,08",0,"0,2",0,"5,3",0,"5,3","1,6",0,"0,8",35,2,160,28,"0,1","0,02","0,04","0,5",54,"0,05",18,0,0,0,"0,18",0,,,,
247,FRUMENTO,100,"11,75","316,5","1324,5","12,65",0,"12,65","2,75",0,"2,75","0,565","0,34","0,345","1,3","0,07",0,"1,37",0,"64,4","61,15","3,25","7,15",0,"3,45","32,5",2,414,317,"3,4","0,425","0,145","5,55",0,"0,345",42,0,0,0,"1,225",0,,,,
248,FUNGHI CHIODINI,50,89,15,63,"2,1",0,"2,1","0,7",0,"0,7","0,15",0,0,"0,07","0,31",0,"0,38",0,"0,1","0,1","0,1","6,8",0,"0,9",4,5,429,121,"0,4","0,1","0,13","4,2",5,"0,18",44,0,0,0,"0,12","2,1",,,,
249,FUNGHI GALLINACCI,39,"91,5",11,46,"1,6",0,"1,6","0,5",0,"0,5","0,09",0,0,"0,05","0,22",0,"0,27",0,"0,2",0,"0,2","4,7",0,"6,5",4,3,367,56,"0,7","0,02","0,23","6,5",6,"0,18",44,217,0,1300,"0,12","2,1",,,,
250,FUNGHI IN SCATOLA,100,92,27,113,3,0,3,"0,4",0,"0,4","0,05","0,01","0,01","0,15",0,0,"0,16",0,3,0,3,"2,4",0,"0,1",20,250,150,70,"0,7","0,02","0,19","1,6",2,"0,06",12,0,0,0,"0,12","2,1",,,,
251,FUNGHI OVULI,87,"92,9",18,75,2,0,2,"0,3",0,"0,3","0,07",0,0,"0,03","0,14",0,"0,17",0,"1,9",1,1,"1,7",0,"1,1",17,5,320,89,"0,4","0,1","0,31",4,3,"0,18",44,0,0,0,"0,12","2,1",,,,
252,FUNGHI PORCINELLI,30,"88,5",24,100,"3,1",0,"3,1","0,6",0,"0,6","0,13",0,0,"0,06","0,27",0,"0,33",0,"1,6","0,3","1,3","6,5",0,"1,6",2,2,360,83,"0,1","0,1","0,44","4,9",7,"0,18",44,0,0,0,"0,12","3,1",,,,
253,FUNGHI PORCINI,92,92,27,113,"3,9",0,"3,9","0,7",0,"0,7","0,15",0,0,"0,07","0,31",0,"0,38",0,"1,4","0,2","1,2","2,5",0,"1,2",22,52,235,142,"0,1","0,38","0,26",4,3,"0,18",44,0,0,0,"0,12","3,1",,,,
254,FUNGHI PRATAIOLI,90,"92,1",20,84,"2,3",0,"2,3","0,4",0,"0,4","0,1",0,"0,01","0,04","0,18",0,"0,22",0,"1,9",1,1,"1,7",0,"1,2",10,5,320,102,"0,4","0,1","0,13","4,2",4,"0,18",44,0,0,0,"0,12",0,,,,
255,FUNGHI SECCHI,100,13,147,615,"40,6",0,"40,6","4,6",0,"4,6","1,15","0,65","1,43","0,59","0,06",0,"0,65",0,"15,6","1,8","13,8",10,0,"28,9",28,87,2846,612,"12,2","0,3","1,27","14,1",2,"0,97",163,0,0,0,"0,12","2,1",,,,
256,FUNGHI SHIITAKE,100,"9,5",296,1238,"16,3",0,"16,3",1,0,1,"0,25","0,14","0,31","0,13","0,01",0,"0,14",0,"63,9","7,4","56,5","11,5",0,"1,7",11,13,1530,290,"7,7","0,3","1,27","14,1",0,"0,97",163,0,0,0,"0,12","2,1",,,,
257,FUNGHI SOTT'OLIO,100,86,48,201,"3,3",0,"3,3","3,9",0,"3,9","0,48","1,17","1,19","1,8","0,17",0,"1,98",0,0,0,0,"1,6",0,"0,8",15,1650,99,98,"0,4","0,1","0,12",4,0,"0,17",42,0,0,0,"2,03","2,1",,,,
258,FUNGHI SPUGNOLI,17,90,17,71,"1,7",0,"1,7","0,3",0,"0,3","0,07",0,0,"0,03","0,14",0,"0,17",0,"1,9",1,1,7,0,"1,2",11,2,390,162,"0,4","0,13","0,06","4,2",5,"0,18",44,0,0,0,"0,19","3,1",,,,
259,GALLINA,70,66,195,816,"20,9","20,9",0,"12,3","12,3",0,"4,09","4,63","5,53","1,57","0,08","0,2","1,86",89,"0,2",0,"0,2",0,0,"1,6",15,60,320,205,"0,8","0,3","0,1",4,0,"0,38",11,0,0,0,"0,14","0,6",,,,
260,GAMBERETTI,100,76,105,439,"17,1","17,1",0,"4,1","4,1",0,"0,69","0,49","0,75","0,22","0,14","0,9","1,26",105,0,0,0,0,0,"2,2",33,150,260,240,"1,3","0,05","0,04","1,9",0,"0,07",30,0,0,0,"2,85",0,,,,
261,GAMBERO,45,"80,1",71,297,"13,6","13,6",0,"0,6","0,6",0,"0,09","0,08","0,13","0,01","0,01","0,18","0,19",150,"2,9",0,0,0,0,"1,8",110,146,266,349,"1,1","0,08","0,1","3,2",2,"0,08",14,0,0,0,"0,82",0,,,,
262,GELATINA ALIMENTARE,100,10,354,1481,"88,3","88,3",0,"0,1","0,1",0,"0,04","0,04","0,05",0,0,0,0,0,0,0,0,0,0,"2,1",250,100,10,32,"0,2",0,0,0,0,0,0,0,0,0,0,0,,,,
263,GELATO AL CIOCCOLATO,100,"55,7",216,904,"3,8",0,0,11,0,0,"6,8","2,97","3,21","0,25","0,15",0,"0,41",34,27,0,27,"1,2",0,"0,9",109,76,249,107,"0,6","0,04","0,19","0,2",0,"0,06",16,119,110,60,"0,33","0,12",,,,
264,GELATO ALLA FRUTTA,100,"59,8",179,749,"3,5","3,5",0,8,8,0,"4,96","2,19","2,59","0,16","0,12",0,"0,28",26,"24,7",0,"23,7",0,0,"0,5",110,61,180,99,"0,4","0,04","0,26","0,2",1,"0,07",9,121,94,160,"0,17","0,1",,,,
265,GELATO FIOR DI LATTE,100,"60,6",218,912,"4,2","4,2",0,"13,7","13,7",0,"8,58","3,44","3,95","0,31","0,2",0,"0,51",40,"20,7",0,"20,7",0,0,"0,4",185,100,150,165,"0,3","0,06","0,1","0,1",0,"0,08",7,120,110,60,"0,21","0,12",,,,
266,GERME DI GRANO,100,10,416,1741,28,0,28,10,0,10,"1,72","1,37","1,41","5,45","0,75",0,"6,2",0,55,"35,3","19,7","15,6",0,10,0,3,827,1100,17,"2,44","0,61","6,2",0,"3,3",331,240,0,1440,22,0,,,,
267,GERMOGLI DI ERBA MEDICA,100,"93,4",24,100,4,0,4,"0,7",0,"0,7","0,07","0,06","0,06","0,23","0,18",0,"0,41",0,"0,4",0,"0,3","1,7",0,1,32,6,79,70,"0,9","0,04","0,06","0,5",2,"0,03",36,16,0,96,"0,01",0,,,,
268,GHIACCIOLO,100,64,137,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,5",0,"36,5",0,0,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,,,,
269,GIARDINIERA SOTT'ACETO,100,93,7,29,"0,4",0,"0,4","0,3",0,"0,3","0,03","0,06","0,15","0,04","0,04",0,"0,07",0,"0,6","0,1","0,4","1,8",0,2,35,821,70,23,"0,5","0,01","0,01","0,1",4,"0,1",10,37,0,220,"0,31",0,,,,
270,GIARDINIERA SOTT'OLIO,100,"84,5",58,243,"2,6",0,"2,6","4,8",0,"4,8","0,58","1,5","1,52","2,31","0,11",0,"2,42",0,"1,3","0,8","0,6","2,5",0,"0,9",30,1352,123,81,"0,4","0,08","0,11","2,3",0,"0,1",53,9,0,51,"2,51",0,,,,
271,SEMI DI GIRASOLE,100,"4,4",581,2431,"19,8",0,"19,8","47,5",0,"47,5","5,34","15,63","15,85","23,7","0,16",0,"23,86",0,"18,6","16,3","1,7","6,2",0,"6,4",110,3,710,640,"5,1","1,6","0,19","4,1",0,"0,77",227,3,0,15,"37,77",0,,,,
272,GOMME DA MASTICARE,100,"2,6",341,1427,0,0,0,"0,3",0,"0,3","0,04","0,08","0,08","0,13",0,0,"0,14",0,"96,7",0,"96,7",0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
273,GORGONZOLA,100,"42,4",359,1502,"19,4","19,4",0,"31,2","31,2",0,"15,08","7,32","8,17","0,52","0,32",0,"0,84",87,"0,1",0,"0,1",0,0,"0,3",612,1450,138,356,"2,5","0,01","0,18","0,9",0,"0,07",52,364,336,168,"0,54","0,24",,,,
274,GORGONZOLA CON LE NOCI,100,41,371,1552,"19,3","18,6","0,7","32,5","29,9","2,6","14,69","7,38","8,2","1,77","0,56",0,"2,33",84,"0,4","0,1","0,3","0,3",0,"0,4",591,1392,147,357,"2,6","0,03","0,18","0,9",0,"0,09",53,350,323,163,"0,67","0,23",,,,
275,GOUDA FRESCO,100,44,344,1439,23,23,0,28,28,0,"17,97","6,52","7,91","0,27","0,4",0,"0,67",100,0,0,0,0,0,"0,5",560,1250,100,350,"1,8","0,03","0,2","0,1",1,"0,08",43,360,330,180,"0,48","0,22",,,,
276,GOUDA STAGIONATO,100,41,361,1510,25,25,0,29,29,0,"18,62","6,75","8,19","0,28","0,42",0,"0,69",100,0,0,0,0,0,"0,5",600,1250,100,380,"1,8","0,03","0,2","0,1",1,"0,08",43,393,360,200,"0,53","0,22",,,,
277,GRANA,100,"30,5",381,1594,"35,5","35,5",0,25,25,0,"16,5","7,26","7,83","0,33","0,37",0,"0,7",85,"3,7",0,"3,7",0,0,"0,8",1290,446,100,702,"6,2","0,02","0,12","0,1",0,"0,1",20,228,200,170,"0,9","0,27",,,,
278,GRANCHIO,35,79,87,364,"18,1","18,1",0,"1,1","1,1",0,"0,22","0,1","0,19","0,01",0,"0,38","0,39",78,0,0,0,0,0,"0,7",89,293,329,229,"3,5","0,08","0,04","2,7",3,"0,15",44,2,2,0,1,0,,,,
279,POLPA DI GRANCHIO,100,"79,2",77,322,"18,1","18,1",0,"0,5","0,5",0,"0,1","0,05","0,09","0,01",0,"0,17","0,18",72,0,0,0,0,0,"2,8",120,550,100,140,"5,7",0,"0,05","1,1",0,"0,15",43,0,0,0,1,0,,,,
280,GRANITA,100,73,106,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,4",0,"28,4",0,0,0,1,0,14,1,0,0,0,0,4,"0,01",1,0,0,0,0,0,,,,
281,GRANITO DI TENERO,100,14,354,1481,"9,2",0,"9,2",1,0,1,"0,23","0,11","0,11","0,58","0,03",0,"0,61",0,"82,3","82,3",0,"2,5",0,"2,2",10,3,126,105,"0,6","0,06","0,05",1,0,"0,15",22,0,0,0,"0,23",0,,,,
282,GRAPPA,100,"66,4",235,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
283,GRISSINI,100,"8,5",433,1812,"12,3",0,"12,3","13,9","6,5","7,4","4,04","7,5","7,82","1,57","0,15","0,12","1,84",6,69,"66,8","2,2","3,5",0,"2,3",13,610,120,162,"0,7","0,12","0,08","0,9",0,"0,12",22,0,0,0,"1,3",0,,,,
284,GRISSINI INTEGRALI,100,"2,7",443,1854,"8,8",0,"8,8","17,2",0,"17,2","3,08","4,46","9,49","2,63","0,06",0,"2,7",0,"58,1","56,2","1,9","10,5",0,"3,1",50,659,297,295,"2,2","0,2","0,1","4,5",0,"0,18",28,0,0,0,"3,92",0,,,,
285,GROVIERA,100,"32,1",388,1623,"30,6","30,6",0,29,29,0,"17,44","8,58","9,31","1,3","0,43",0,"1,73",87,"1,5",0,"1,5",0,0,"0,5",1123,332,80,685,"2,3","0,01","0,45","0,1",0,"0,11",12,316,283,196,"0,51","0,22",,,,
286,HALIBUT,78,"77,9",110,460,"20,8","20,8",0,"2,3","2,3",0,"0,33","0,36","0,75","0,03","0,07","0,63","0,73",32,0,0,0,0,0,"0,8",47,54,450,222,"0,4","0,06","0,08","5,8",0,"0,34",12,47,47,0,"0,85",0,,,,
